COMPANY_NAME,SECTOR_NAME,SYMBOL,OPEN_PRICE,CLOSE_PRICE,HIGH_PRICE,LOW_PRICE,TOTAL_TRADED_QUANTITY,BUSINESS_DATE
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/17/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,709.9,703,709.9,691,64978,7/17/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,249,248.7,249,239,39685,7/17/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,203,200.9,206,200.9,18328,7/17/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1085,1055.1,1085,1045,12297,7/17/2022
Janaki Finance Company Limited,Finance,JFL,365,368,380,365,6865,7/17/2022
ICFC Finance Limited,Finance,ICFC,447,448,459,446,15822,7/17/2022
Nepal Doorsanchar Company Limited,Others,NTC,879,863.9,879,860,51593,7/17/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,7/17/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,203.8,205,205.9,202.1,19661,7/17/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,378,379,385,371,33891,7/17/2022
Garima Bikas Bank Limited,Development Banks,GBBL,380,387,392.5,380,23192,7/17/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,295,297.4,301,290,34213,7/17/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,440,437,446,435,32165,7/17/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,655,655,676,648.5,13633,7/17/2022
Manjushree Finance Ltd.,Finance,MFIL,440,444,459,439,9156,7/17/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,301,305.9,309,301,53108,7/17/2022
Ridi Power Company Limited,Hydro Power,RIDI,838,838,838,838,0,7/17/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1275,1275,1284,1256.1,2121,7/17/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,785,799.9,799.9,751,2495,7/17/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,565,555,576,544,2743,7/17/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,951.2,932.2,951.2,932.2,45,7/17/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/18/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,703,703,704,695,48670,7/18/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,249.7,247,249.7,244,20088,7/18/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,199.3,210.2,215.2,199.3,60667,7/18/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1040,1040,1045,1023,9139,7/18/2022
Janaki Finance Company Limited,Finance,JFL,365,375,380,363,9483,7/18/2022
ICFC Finance Limited,Finance,ICFC,449,455,457,440.3,17294,7/18/2022
Nepal Doorsanchar Company Limited,Others,NTC,870,879,879.9,856,46620,7/18/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,7/18/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,204.9,206,208,202,23912,7/18/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,380,382,385,375,18538,7/18/2022
Garima Bikas Bank Limited,Development Banks,GBBL,385,388,394,380.1,17745,7/18/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,298,300,301,292.1,19013,7/18/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,440,439,443,434,23142,7/18/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,644,674.9,680,644,17390,7/18/2022
Manjushree Finance Ltd.,Finance,MFIL,449,448,450,437,12359,7/18/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,305.9,306,309.1,300,35162,7/18/2022
Ridi Power Company Limited,Hydro Power,RIDI,838,838,838,838,0,7/18/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1280,1285,1285,1270,374,7/18/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,785,805,805,770,1797,7/18/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,565,572,576.3,545,10032,7/18/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,930,938,938,915,190,7/18/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/19/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,709,713,718,704.1,96528,7/19/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,248.8,246.2,248.8,245,33597,7/19/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,213,211.6,216.9,208.5,24379,7/19/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1025,1047,1065,1025,10342,7/19/2022
Janaki Finance Company Limited,Finance,JFL,375.2,387,390.9,375.2,16735,7/19/2022
ICFC Finance Limited,Finance,ICFC,461,479,487.5,456,109006,7/19/2022
Nepal Doorsanchar Company Limited,Others,NTC,875.1,880,892.5,870,57669,7/19/2022
Himalayan Bank Limited,Commercial Banks,HBL,301,305,305,298,9368,7/17/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,277,282,282,270,15165,7/17/2022
Everest Bank Limited,Commercial Banks,EBL,432,446.9,447,432,18180,7/17/2022
Siddhartha Bank Limited,Commercial Banks,SBL,303,309.9,309.9,300,45999,7/17/2022
Butwal Power Company Limited,Hydro Power,BPCL,328,322,328.2,321,3873,7/17/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,408,403,412,400,8381,7/17/2022
Sanima Bank Limited,Commercial Banks,SANIMA,280,272.9,280,269,27954,7/17/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18400,18551,18551,18400,20,7/17/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3425,3468,3480,3400,13801,7/17/2022
Pokhara Finance Ltd.,Finance,PFL,361,355.5,364,355,5680,7/17/2022
NMB Bank Limited,Commercial Banks,NMB,263,263,264.7,260.4,18810,7/17/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,295,295,301.2,294,7173,7/17/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,310,309,313.1,304,9186,7/17/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1170,1135,1170,1096,9986,7/17/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,356,352.2,359.9,349,74062,7/17/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,894,895,904,875,2648,7/17/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,300,300.1,306.9,294.2,39389,7/17/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,291,293,295,287.1,35614,7/17/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,860,845,862,840,2365,7/17/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,273,273.5,284.4,273,2634,7/17/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,448.8,443,449,436.5,52529,7/17/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,958.8,970,975,954.7,164,7/17/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,908.9,892.5,908.9,875,125,7/17/2022
API POWER COMPANY LIMITED,Hydro Power,API,249.3,241.5,249.3,237.3,96194,7/17/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,765.1,770,782,765.1,1363,7/17/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1324,1335,1342,1300,2008,7/17/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,770,788,794.7,770,2018,7/17/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,862.8,851,864,850,1372,7/17/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,204,201,204,197,46819,7/17/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,302.9,298,313.9,295,29639,7/17/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2428,2388,2428,2362,6285,7/17/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,226,233,238,226,33018,7/17/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,799.9,812,814.8,780.1,3341,7/17/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,251,255,260,246.3,6256,7/17/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1178.1,1128,1200,1128,217,7/17/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,241.8,236,241.8,231,1555,7/17/2022
Himalayan Bank Limited,Commercial Banks,HBL,310,308,311,301.2,8542,7/18/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,285,282,285,275,4906,7/18/2022
Everest Bank Limited,Commercial Banks,EBL,446.9,445,451,440,17517,7/18/2022
Siddhartha Bank Limited,Commercial Banks,SBL,309.9,315,315,308,52175,7/18/2022
Butwal Power Company Limited,Hydro Power,BPCL,320,326,328,316,6131,7/18/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,400,404,404,398.1,6154,7/18/2022
Sanima Bank Limited,Commercial Banks,SANIMA,275,272,275,267.6,53133,7/18/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18551,18551,18551,18551,0,7/18/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3425.1,3499.9,3500,3425.1,11523,7/18/2022
Pokhara Finance Ltd.,Finance,PFL,362,359,363,353.1,9291,7/18/2022
NMB Bank Limited,Commercial Banks,NMB,268,265.9,268,260,15538,7/18/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,290,302,310,290,9145,7/18/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,310.8,312,315.1,304.1,12423,7/18/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1113,1102,1113,1087,4909,7/18/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,350,357.1,360,347.8,42997,7/18/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,909,907,909,885.1,2401,7/18/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,300,304.5,306,299,28105,7/18/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,290,297,298,288.1,37568,7/18/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,837,850,865,837,3626,7/18/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,270,280,285.4,266.2,7133,7/18/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,276,298.6,298.6,276,14005,7/18/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,970,984,985,950.6,625,7/18/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,880,908,908,880,95,7/18/2022
API POWER COMPANY LIMITED,Hydro Power,API,242,254,255.9,240.8,235506,7/18/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,760,785,785,760,659,7/18/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1359,1377,1377,1315.2,2376,7/18/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,773.2,786,802,772.3,2371,7/18/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,841,865,865,834,2176,7/18/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,201.5,202.9,205,198.2,50434,7/18/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,301,300,302,294,21014,7/18/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2389,2406,2410,2375,6240,7/18/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,228.4,236,237.5,228.4,25931,7/18/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,798,810,824,795,1164,7/18/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,250.2,261,269.9,250.2,11360,7/18/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1149.9,1128,1149.9,1128,102,7/18/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,240,238,240,230.7,4565,7/18/2022
Himalayan Bank Limited,Commercial Banks,HBL,308,308,310,305,8560,7/19/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,276.4,285,286.9,276.4,58127,7/19/2022
Everest Bank Limited,Commercial Banks,EBL,440,457.9,458.7,436.2,226720,7/19/2022
Siddhartha Bank Limited,Commercial Banks,SBL,316,314,320,312,50452,7/19/2022
Butwal Power Company Limited,Hydro Power,BPCL,330,327.1,332,325,15770,7/19/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,400.1,401.1,410,400.1,15021,7/19/2022
Sanima Bank Limited,Commercial Banks,SANIMA,270,273.6,277,270,32313,7/19/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18799,18799,18799,18799,10,7/19/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3500,3515,3580,3500,23955,7/19/2022
Pokhara Finance Ltd.,Finance,PFL,362,375,377,361,25354,7/19/2022
NMB Bank Limited,Commercial Banks,NMB,270,267.9,270,265,14780,7/19/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,308,309.9,316,305.1,25100,7/19/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,318,327,327,315,47570,7/19/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1100,1112,1135,1100,16425,7/19/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,354,357.5,364.5,354,63321,7/19/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,907,910,930,906.5,3841,7/19/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,298.5,307,310.1,298.5,59620,7/19/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,302,299,304.8,297,64620,7/19/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,862,870,875,846,2786,7/19/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,285,278.5,285,278.4,9805,7/19/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,304.5,299,321,298.6,93683,7/19/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,1000,991,1005,986,1696,7/19/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,926.1,941,945,925,830,7/19/2022
API POWER COMPANY LIMITED,Hydro Power,API,257,253,259,251,214474,7/19/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,800.7,794,815.9,790,1664,7/19/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1404.5,1393,1409,1372,3856,7/19/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,801.7,800,813,790,5094,7/19/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,882.1,880,910,880,10407,7/19/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,198.9,203.1,208.8,198.9,96075,7/19/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,302,297,303.9,297,40209,7/19/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,7/19/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,206,207,208.8,205,30922,7/19/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,388,385,391.9,379.9,65324,7/19/2022
Garima Bikas Bank Limited,Development Banks,GBBL,390,390,395.8,385.4,36088,7/19/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,305,303,306,298.9,32470,7/19/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,447,447,449.9,438.5,58382,7/19/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,688,700,700,680,22644,7/19/2022
Manjushree Finance Ltd.,Finance,MFIL,456,454,462,445,15890,7/19/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,306,313.5,316,306,91856,7/19/2022
Ridi Power Company Limited,Hydro Power,RIDI,838,838,838,838,0,7/19/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1290,1309,1310,1290,4805,7/19/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,791,820,833,791,2213,7/19/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,583.4,592,629,583.4,22123,7/19/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,940,935,969,935,480,7/19/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/20/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,710,716,720,709,64499,7/20/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,251,247,251,244,9587,7/20/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,215.8,210,215.8,207.7,12456,7/20/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1050,1058,1059,1035.1,5748,7/20/2022
Janaki Finance Company Limited,Finance,JFL,380,400,408,380,23614,7/20/2022
ICFC Finance Limited,Finance,ICFC,486,494,505,476.1,107059,7/20/2022
Nepal Doorsanchar Company Limited,Others,NTC,889,888,889.8,865.1,37398,7/20/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,7/20/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,209,205,209,204,21981,7/20/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,388,389,391,380,64578,7/20/2022
Garima Bikas Bank Limited,Development Banks,GBBL,390,388,397,385,19126,7/20/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,303,306.5,308.8,296,39550,7/20/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,453,443,453,438.1,31536,7/20/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,914,977,1003,914,17091,8/3/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,647.7,635,650,635,4399,8/3/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,1054.1,1084,1084,1054.1,385,8/3/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,8/4/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,719.9,706,719.9,705,58366,8/4/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,251,253,259.9,247,42789,8/4/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,231.9,220.1,232,219.6,50063,8/4/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1125,1098,1125,1095,10735,8/4/2022
Janaki Finance Company Limited,Finance,JFL,473.4,474,487,466,36234,8/4/2022
ICFC Finance Limited,Finance,ICFC,550.1,541,569,540,87770,8/4/2022
Nepal Doorsanchar Company Limited,Others,NTC,950,929,950,929,51721,8/4/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,8/4/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,214,207.5,214,207.3,57404,8/4/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,423,415.8,426.5,415.5,117727,8/4/2022
Garima Bikas Bank Limited,Development Banks,GBBL,413,408.9,419.9,408.9,59138,8/4/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,340,330,343,330,72181,8/4/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,477,469,490,467,67815,8/4/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,750,732.2,750,732.1,27523,8/4/2022
Manjushree Finance Ltd.,Finance,MFIL,501.1,493,515.1,493,40615,8/4/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,343.1,333.3,344.7,333.3,99222,8/4/2022
Ridi Power Company Limited,Hydro Power,RIDI,838,838,838,838,0,8/4/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1411,1375,1430,1373,4457,8/4/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,957.5,986,1010,957.5,16035,8/4/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,636,621.9,640,615,5304,8/4/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2440,2440,2477,2411.1,12571,7/19/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,240.7,239,242,235,54198,7/19/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,825.9,822,842,810,467,7/19/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,266.2,267,272,260.9,9589,7/19/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1150,1171,1180,1141,517,7/19/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,242,240.1,246.8,235.2,10501,7/19/2022
Himalayan Bank Limited,Commercial Banks,HBL,306,305.5,306,304,8028,7/20/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,290,281,290,279.3,46383,7/20/2022
Everest Bank Limited,Commercial Banks,EBL,457,459.4,462,453,36982,7/20/2022
Siddhartha Bank Limited,Commercial Banks,SBL,312.1,315.4,318.2,312,25318,7/20/2022
Butwal Power Company Limited,Hydro Power,BPCL,327,329,331.4,318,5697,7/20/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,407,405,408,399.9,11609,7/20/2022
Sanima Bank Limited,Commercial Banks,SANIMA,274,273.5,275,270,49655,7/20/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18799,18799,18799,18799,0,7/20/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3585,3555,3585,3515,20566,7/20/2022
Pokhara Finance Ltd.,Finance,PFL,375,386.1,393,370,13106,7/20/2022
NMB Bank Limited,Commercial Banks,NMB,267,266.4,268.1,265,14994,7/20/2022
Shree Investment Finance Co. Ltd.,Finance,SIFC,312.9,318,324.9,306.7,55761,7/20/2022
Guheswori Merchant Banking & Finance Ltd.,Finance,GMFIL,322,333,341.7,320,50515,7/20/2022
Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,SWBBL,1112,1130,1148,1100,15892,7/20/2022
Arun Valley Hydropower Development Co. Ltd.,Hydro Power,AHPC,355,357,366.1,354,74201,7/20/2022
Nerude Mirmire Laghubitta Bittiya Sanstha Limited,Microfinance,NMLBBL,901,919,924,900,2552,7/20/2022
Jyoti Bikas Bank Limited,Development Banks,JBBL,302,307,312,302,36527,7/20/2022
SHANGRI-LA DEVELOPMENT BANK LIMITED,Development Banks,SADBL,297,302,309.9,296,43438,7/20/2022
Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,SLBBL,852.8,860.2,887,852.8,3499,7/20/2022
Sindhu Bikash Bank Ltd,Development Banks,SINDU,279,283.9,290,279,16006,7/20/2022
Barun Hydropower Co. Ltd.,Hydro Power,BARUN,300,294,301.5,290.1,27896,7/20/2022
Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance,VLBS,991,1005,1059,990,1482,7/20/2022
Kisan Lagubitta Bittiya Sanstha Limited,Microfinance,KLBSL,959.8,925,978.9,925,366,7/20/2022
API POWER COMPANY LIMITED,Hydro Power,API,255,250,255,249.4,155363,7/20/2022
NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance,NMBMF,809.8,804,809.8,793.7,2109,7/20/2022
Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,GILB,1419,1395,1443,1390,1502,7/20/2022
Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance,SWMF,797,788,808,788,3790,7/20/2022
Mero Microfinance Bittiya Sanstha Ltd.,Microfinance,MERO,881,882,904,880,2339,7/20/2022
Hydorelectricity Investment and Development Company Ltd,Investment,HIDCL,203,204.5,207,200,70942,7/20/2022
Ngadi Group Power Ltd.,Hydro Power,NGPL,300,294,300,291.9,28351,7/20/2022
Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,FOWAD,2474,2435,2474,2424.6,6163,7/20/2022
United Modi Hydropower Ltd.,Hydro Power,UMHL,234.3,234.2,241,233.1,30989,7/20/2022
Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,SMATA,825,828,830,808.6,1292,7/20/2022
Chhyangdi Hydropower Ltd.,Hydro Power,CHL,262,267.9,272,261,8494,7/20/2022
Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance,MSLB,1147.6,1170,1189.9,1147.6,562,7/20/2022
Saptakoshi Development bank Ltd,Development Banks,SAPDBL,240,240,243.9,235.6,4811,7/20/2022
Himalayan Bank Limited,Commercial Banks,HBL,305,305,310,302,4773,7/21/2022
Nepal SBI Bank Limited,Commercial Banks,SBI,286.6,280,292,277,144565,7/21/2022
Everest Bank Limited,Commercial Banks,EBL,460,459.1,469.2,456.1,27282,7/21/2022
Siddhartha Bank Limited,Commercial Banks,SBL,315.5,315,318,311.3,45220,7/21/2022
Butwal Power Company Limited,Hydro Power,BPCL,329,324,331.8,323,10200,7/21/2022
Chilime Hydropower Company Limited,Hydro Power,CHCL,401,402.5,405,399,6245,7/21/2022
Sanima Bank Limited,Commercial Banks,SANIMA,275,271,275.2,270,68027,7/21/2022
Unilever Nepal Limited,Manufacturing And Processing,UNL,18950,18571,18950,18571,20,7/21/2022
Himalayan Distillery Limited,Manufacturing And Processing,HDL,3580,3551,3620,3530,16904,7/21/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,1090,1065,1090,1046.9,1236,8/4/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,8/5/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,700,695.5,704.8,695,33014,8/5/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,250,249,250,243,26655,8/5/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,221,220,225,218,29125,8/5/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1080,1063,1090,1060,7434,8/5/2022
Janaki Finance Company Limited,Finance,JFL,482.8,455,482.8,447,33073,8/5/2022
ICFC Finance Limited,Finance,ICFC,530.2,520,550,519,77183,8/5/2022
Nepal Doorsanchar Company Limited,Others,NTC,929,938,938,912.4,51628,8/5/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,8/5/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,204.2,204,207,203.5,34768,8/5/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,409,405.1,419,404,81874,8/5/2022
Garima Bikas Bank Limited,Development Banks,GBBL,409,397.5,409,397.4,65562,8/5/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,336.6,326,336.6,325,50014,8/5/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,478.3,460,478.3,459,30969,8/5/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,732,720,732,718,12489,8/5/2022
